order_id,time_to_deliver_days,diff_estimated_delivery_days
ce9feeba-53c6-52dd-6569-cca62e2bb287,5,-6
565923f8-47aa-d52e-7638-eb189cce3b51,10,-23
36ebb419-9031-e72a-1fa9-64549b88c377,12,-16
232b75e8-b6fa-a6ca-2063-184414e634a7,13,-11
ee990334-acb0-ff93-33b0-1afa465f3006,22,-11
780fe22b-aa36-991b-dbb1-559f5b549596,6,-17
58ac1947-c1a9-067b-9f41-6cba6d844a3f,8,-4
ba4ddff2-b908-2f07-9de9-a84d7a5605fd,2,-13
75351e48-296e-f422-11a0-b80c427aae57,20,-7
64a2b20e-6611-bf80-d933-549f4c45ad84,20,-10
775130c7-92f4-c646-0c63-162e994a1114,7,-24
b0928556-a107-06af-462c-a2ab2c91903b,11,-9
5487a8ac-1699-754d-975f-853ce8bb9321,10,-12
00571ded-73b3-c061-9255-84feab0db425,12,-13
74ebfa44-a323-c96a-7760-bd693d690a3d,10,-22
37104fd8-b73d-0691-fda9-491fe8906808,12,-21
b6b3633f-97c6-86d8-e188-ac6fa29ff20d,10,-11
37e32b54-f25d-2472-acbc-642f7e539a36,9,-17
43d88b0e-9498-6590-4334-dd5b3ca63f50,5,-13
5e99f3c4-4503-8a07-09b2-aea8e34ed593,9,-10
f61b61c2-cbb4-192c-caf9-c2c76a4cc971,9,-4
6d7de866-a140-b19d-09e8-25b2a4e944c7,8,-21
3f849648-ffba-bb05-62c7-668f212e3e88,23,1
7c18eddf-cd24-680d-80a5-02346221614e,11,-16
6fa204b6-cf6d-cfe6-c9ad-ca7dc53aa32a,4,-16
58d4c474-7ee0-59ee-eb86-5b349b41f53a,4,-6
a840a7a8-9e3d-9137-358e-b7b9408681fe,7,-12
40001f4b-6e1a-35f0-b99f-c4f44078ab27,26,-28
287c56aa-824d-8d1e-a402-46ad12013f62,6,-3
694630e7-a771-3c11-6a9b-7f0ba3377382,7,-17
f26f92a3-da58-e9c7-7182-0a7b4d9a6800,9,-7
d1f54c6a-2a70-15c5-6874-39d6d4e971ba,18,-32
37d6c8f1-b209-eab8-d1b6-522a1a3e4d88,7,-14
f9f76d0f-8ab4-16a4-2a2a-3dad0d710162,8,-18
a03ad705-7fae-696d-d18f-8967826c209f,11,-12
c93e4c73-cba5-12f7-6817-291e0de8bec4,10,-12
412fccb2-b44a-99b3-6714-bca3fef8ad7b,2,-7
67b47f35-ec92-3e39-f120-3f3cfa80f5e3,5,-33
b616f638-cd86-d92c-7cbd-06cf7484ee34,14,-2
258f2e5d-d769-d931-4b34-9f5650005dcc,20,-18
f90202d1-4e46-8090-464a-eb4b1f0372ab,15,-3
615ae1b8-8a25-a4ac-47fb-f55c9c847b6e,10,-10
52f166ce-5fa0-53bb-b27d-317e4fd231b7,8,-15
